State,Name,Subname,Stats,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Super Saiyan 2 Vegeta,Indomitable Fighting Spirit,"Base Max Lv 55% 100% | HP 3,318 14,644 16,644 19,244 | ATK 3,787 16,717 18,717 22,117 | DEF 2,053 9,060 11,060 14,060","Leader Skill (Extreme) ""Super Saiyan 2"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%","Passive Skill (Extreme) Will for a Serious Fight Ki +2 and ATK & DEF +150% Reduces damage received by 30% Plus an additional ATK boost by up to 120% (the more HP remaining, the greater the ATK boost) and if HP is 50% or more, great chance of launching an additional Super Attack Plus an additional DEF boost by up to 120% (the less HP remaining, the greater the DEF boost) and if HP is 50% or less, guards all attacks Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy Plus an additional damage reduction of 20% with a Rainbow Ki Sphere obtained ATK & DEF +120% when attacking with 3 or more Ki Spheres obtained Receives a boost from Babidi's sorcery when conditions are met",N/A,Raises ATK & DEF for 1 turn and causes immense damage to enemy,N/A,"Saiyan Warrior Race, Super Saiyan, Saiyan Pride, Royal Lineage, Prepared for Battle, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Uncontrollable Power, Corroded Body and Mind, Mastered Evolution, Worthy Rivals, Gifted Warriors, Resurrected Warriors","Receives a boost from Babidi's sorcery when facing only 1 enemy, whose HP is 50% or more, starting from the 3rd turn from the start of battle","Dec 10, 2024",150%,630%
Transformation,Majin Vegeta,Indomitable Fighting Spirit,"Base Max Lv 55% 100% | HP 3,318 14,644 16,644 19,244 | ATK 3,787 16,717 18,717 22,117 | DEF 2,053 9,060 11,060 14,060","Leader Skill (Extreme) ""Super Saiyan 2"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%","Passive Skill (Extreme) Transformed Threat Ki +3 and ATK & DEF +200% Reduces damage received by 33% Plus an additional ATK boost by up to 150% (the more HP remaining, the greater the ATK boost) and if HP is 50% or more, launches an additional Super Attack Plus an additional DEF boost by up to 150% (the less HP remaining, the greater the DEF boost) and if HP is 50% or less, guards all attacks Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy Plus an additional damage reduction of 33% with a Rainbow Ki Sphere obtained ATK & DEF +130% when attacking and attacks effective against all Types with 3 or more Ki Spheres obtained ATK & DEF +66% when attacking and guards all attacks with 6 or more Ki Spheres obtained",N/A,Greatly raises ATK & DEF for 1 turn and causes immense damage with a great chance of stunning the enemy,N/A,"Saiyan Warrior Race, Super Saiyan, Saiyan Pride, Royal Lineage, Over in a Flash, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Uncontrollable Power, Corroded Body and Mind, Mastered Evolution, Worthy Rivals, Gifted Warriors, Resurrected Warriors",N/A,"May 8, 2020",150%,630%
Base,Super Saiyan 2 Goku (Angel),Rousing Fighting Spirit,"Base Max Lv 55% 100% | HP 3,590 15,848 17,848 20,848 | ATK 3,769 16,637 18,637 21,637 | DEF 1,939 8,559 10,559 13,559","Leader Skill (Extreme) ""Otherworld Warriors"" or ""Super Saiyan 3"" Category Ki +3 and HP, ATK & DEF +170%","Passive Skill (Extreme) Ready for a Serious Fight Ki +2 and ATK & DEF +150% High chance of evading enemy's attack (including Super Attack) Plus an additional DEF boost by up to 120% (the more HP remaining, the greater the DEF boost) and if HP is 50% or more, chance of evading enemy's attack (including Super Attack) +20% Plus an additional ATK boost by up to 120% (the less HP remaining, the greater the ATK boost) and if HP is 50% or less, chance of performing a critical hit +20% Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy Chance of performing a critical hit +50% with a Rainbow Ki Sphere obtained ATK & DEF +120% when attacking with 3 or more Ki Spheres obtained Transforms when conditions are met",N/A,Raises ATK & DEF for 1 turn and causes immense damage to enemy,N/A,"Saiyan Warrior Race, Super Saiyan, Golden Warrior, Kamehameha, Prepared for Battle, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Super Saiyan 2, Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Mastered Evolution, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Connected Hope, Accelerated Battle","Transforms when facing only 1 enemy, whose HP is 50% or more, starting from the 3rd turn from the start of battle","Dec 10, 2024",150%,630%
Transformation,Super Saiyan 3 Goku (Angel),Rousing Fighting Spirit,"Base Max Lv 55% 100% | HP 3,590 15,848 17,848 20,848 | ATK 3,769 16,637 18,637 21,637 | DEF 1,939 8,559 10,559 13,559","Leader Skill (Extreme) ""Otherworld Warriors"" or ""Super Saiyan 3"" Category Ki +3 and HP, ATK & DEF +170%","Passive Skill (Extreme) Stunning Transformation Ki +3 and ATK & DEF +200% High chance of evading enemy's attack (including Super Attack) Plus an additional DEF boost by up to 150% (the more HP remaining, the greater the DEF boost) and if HP is 50% or more, chance of evading enemy's attack (including Super Attack) +30% Plus an additional ATK boost by up to 150% (the less HP remaining, the greater the ATK boost) and if HP is 50% or less, chance of performing a critical hit +30% Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy Chance of performing a critical hit +70% with a Rainbow Ki Sphere obtained ATK & DEF +133% when attacking with 3 or more Ki Spheres obtained Launches an additional Super Attack and all attacks become critical hits with 6 or more Ki Spheres obtained",N/A,Greatly raises ATK & DEF for 1 turn and causes immense damage with a great chance of stunning the enemy,N/A,"Limit-Breaking Form, Super Saiyan, Golden Warrior, Kamehameha, Over in a Flash, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Super Saiyan 2, Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Mastered Evolution, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Connected Hope, Accelerated Battle",N/A,"May 8, 2020",150%,630%
Base,Ultimate Gohan,Ultimate Power Surge,"Base Max Lv 55% 100% | HP 3,962 11,892 14,692 18,892 | ATK 4,696 10,308 13,108 17,308 | DEF 2,567 5,744 8,544 12,744","Leader Skill (Super Extreme) INT Type Ki +3 and HP, ATK & DEF +70%","Passive Skill (Super Extreme) Victor's Fortitude ATK & DEF +158% Ki +5 plus an additional ATK & DEF +100% when Ki is 7 or more Plus an additional ATK & DEF +100% when performing a Super Attack Launches an additional Super Attack and medium chance of attacks becoming critical hits when all allies are Super Class Guards all attacks and medium chance of evading enemy's attack (including Super Attack) as the 2nd or 3rd attacker in a turn Plus an additional DEF +30% (up to 120%) and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +10% (up to 40%) with each Super Attack performed Super Class allies' ATK & DEF +30% and if there is an Extreme Class enemy, plus an additional ATK & DEF +28%",N/A,Greatly raises ATK and causes immense damage to enemy,N/A,"Saiyan Warrior Race, The Saiyan Lineage, Infighter, Shocking Speed, Power Bestowed by God, Fierce Battle","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Powerful Comeback, Power of Wishes, Demonic Power, Rapid Growth, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Saviors, Revenge, Entrusted Will",[],"Dec 3, 2024",140%,580%
Base,Anilaza,Ultimate Colossal Fighter of Universe 3,"Base Max Lv 55% 100% | HP 5,136 16,950 18,950 21,950 | ATK 3,507 11,576 13,576 16,976 | DEF 2,153 7,105 9,105 11,705","Leader Skill ""Super Bosses"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Trump Card of Universe 3 Activates the Entrance Animation (once only) and Ki +3, ATK & DEF +130% and foresees enemy's Super Attack for 3 turns from the character's entry turn when there is another ""Final Trump Card"" or ""Super Bosses"" Category ally on the team upon the character's entry Ki +3 and ATK & DEF +130% Plus an additional Ki +3 and reduces damage received by 30% when HP is 30% or more at start of turn Randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres Launches an additional attack that has a high chance of becoming a Super Attack with 3 or more STR Ki Spheres obtained Launches an additional Super Attack with 5 or more STR Ki Spheres obtained Plus an additional ATK & DEF +130% and reduces damage received by 30% as the 1st attacker in a turn Plus an additional ATK & DEF +30% when performing a Super Attack, high chance of launching an additional Super Attack and attacks effective against all Types as the 2nd or 3rd attacker in a turn Animations: Entry","Active Skill Majestic Halation Condition: Can be activated when there is a ""Tournament Participants"" Category enemy starting from the 3rd turn from the character's entry turn, or starting from the 5th turn from the character's entry turn (once only) Causes ultimate damage to enemy; Ki +24 and ATK & DEF +30% for 1 turn Animation: Ultimate Special",Greatly raises DEF for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises Extreme Class allies' DEF by 30% for 1 turn,"Mechanical Menaces, Infighter, Big Bad Bosses, Tough as Nails, Fused Fighter, Legendary Power, Tournament of Power","Universe Survival Saga, Fused Fighters, Final Trump Card, Super Bosses, Tournament Participants",[],"Nov 29, 2024",200%,570%
Base,Grand Supreme Kai,A God Praying for Peace,"Base Max Lv 55% 100% | HP 2,871 9,475 11,475 14,475 | ATK 2,740 9,043 11,043 14,443 | DEF 1,433 4,731 6,731 9,331","Leader Skill ""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Strategy against the Majin Ki +1 (up to +4) and ATK & DEF +50% (up to 200%) per Super Class ally (self excluded) on the team Plus an additional ATK & DEF +200% when attacking Plus an additional DEF +100% within the same turn after receiving an attack High chance of guarding all attacks Guards all attacks and launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Majin Buu Saga"" Category ally attacking in the same turn ""Majin Buu Saga"" or ""Potara"" Category allies' Ki +1 and ATK & DEF +40%, plus an additional Ki +1 and ATK & DEF +20% for characters who also belong to the ""Realm of Gods"" Category Plus an additional ATK +200% and performs a critical hit when there is a ""Majin Power"" Category enemy",N/A,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",N/A,"Master of Magic, Cold Judgment, More Than Meets the Eye, Telekinesis, Godly Power, Supreme Power, Fierce Battle","Majin Buu Saga, Potara, Realm of Gods, Storied Figures",[],"Nov 29, 2024",140%,430%
Base,Majin Buu (Ultimate Gohan),Application of Skills and Intelligence,"Base Max Lv 55% 100% | HP 4,050 13,365 15,365 17,965 | ATK 3,363 11,098 13,098 16,498 | DEF 1,990 6,570 8,570 11,570","Leader Skill ""Power Absorption"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Artificial Life Forms"" or ""Uncontrollable Power"" Category","Passive Skill Power Merged with Buu Ki +2 and ATK & DEF +200% Guards all attacks Plus an additional ATK & DEF +58% when attacking Plus an additional ATK & DEF +100% and high chance of performing a critical hit for 6 turns from the start of battle High chance of evading enemy's attack (including Super Attack) and launches an additional attack that has a great chance of becoming a Super Attack starting from the 7th turn from the start of battle Plus an additional ATK & chance of performing a critical hit +50% and Extreme Class allies' Ki +2 and ATK & DEF +50% when there is another ""Power Absorption"" or ""Transformation Boost"" Category ally attacking in the same turn The more HP remaining when the character receives an attack for the 1st time in a turn, the greater the additional DEF boost received within the turn (up to 150%)","Active Skill Body Absorption Condition: Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only) Creates the Domain ""Inside Majin Buu"" and transfers the character's consciousness inward for 3 turns Animation: Play",Greatly raises ATK & DEF for 1 turn and causes immense damage to enemy,N/A,"Majin, Big Bad Bosses, Metamorphosis, Shocking Speed, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Final Trump Card, Sworn Enemies, Worldwide Chaos","Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only)","Nov 29, 2024",150%,505%
Transformation,Buu (Super),Application of Skills and Intelligence,"Base Max Lv 55% 100% | HP 4,050 13,365 15,365 17,965 | ATK 3,363 11,098 13,098 16,498 | DEF 1,990 6,570 8,570 11,570","Leader Skill ""Power Absorption"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Artificial Life Forms"" or ""Uncontrollable Power"" Category","Passive Skill Demonic Maze Ki +6 and ATK & DEF +300% Plus an additional ATK +100% when attacking Reduces damage received by 70% Changes AGL Ki Spheres to TEQ Ki Spheres Plus an additional DEF +40% when receiving an attack and chance of performing a critical hit +5% per Ki Sphere obtained Launches an additional Super Attack with 3 or more Ki Spheres obtained and launches another additional Super Attack with 6 or more Ki Spheres obtained Launches an additional Super Attack when there is a ""Fused Fighters"" Category enemy Recovers 30% HP at the end of turn",N/A,Massively raises ATK and causes immense damage with a high chance of stunning the enemy,N/A,"Majin, Big Bad Bosses, Metamorphosis, Shocking Speed, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Final Trump Card, Sworn Enemies, Worldwide Chaos",N/A,"Nov 29, 2024",150%,405%
Base,Majin Buu (Shape-Up),Thrilling Battle,"Base Max Lv 55% 100% | HP 2,777 12,259 14,259 16,859 | ATK 2,491 10,995 12,995 15,995 | DEF 1,791 7,905 9,905 13,305","Leader Skill (Extreme) AGL Type Ki +3 and HP, ATK & DEF +100%","Passive Skill (Extreme) Majin on the Warpath Ki +3 and ATK & DEF +200% Plus an additional ATK & DEF +200%, high chance of performing a critical hit and high chance of evading enemy's attack (including Super Attack) for 7 turns from the character's entry turn Plus an additional ATK, DEF, chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +10% per ""Representatives of Universe 7"" Category ally attacking in the same turn Plus an additional ATK & DEF +7% (up to 77%) and reduces damage received by 7% (up to 77%) with each attack evaded (including Super Attack)",N/A,Greatly raises ATK for 1 turn and causes supreme damage with a great chance of stunning the enemy,N/A,"The Innocents, Revival, Brainiacs, Majin, Infinite Regeneration, Shocking Speed, Fierce Battle","Universe Survival Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Demonic Power, Mastered Evolution, Worthy Rivals, Bond of Friendship, Representatives of Universe 7, Super Heroes, Resurrected Warriors",[],"Nov 21, 2024",140%,530%
